Location,Admission Location,Admission Note Location,Appointment Location,Archives Location,COVID-19 Location,Check-In Location,Chemotherapy Location,Consult Note Location,Dispensing Location,Echocardiogram Location,ED Note Location,ED Triage Location,HIV Consult Location,Identifier Assignment Location,Inpatients App Location,Labs Component Location,Lab Results Location,Login Location,Maternal and Child Location,Medical Record Location,Mental Health Location,NCD Consult Location,Oncology Consult Location,Order Pathology Location,Order Radiology Study Location,Primary Care Consult Location,Program Location,Provider Management Location,Registration Location,Registration and Check-In Location,Surgery Note Location,Tablet Entry Location,Transfer Location,Vaccination Location,Visit Location,Vitals Location
Klinik Ekstèn,,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,,TRUE
Klinik Ekstèn Famasi,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Klinik MNT,,,,,TRUE,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,
Laboratwa Ekstèn pou Fanm,,,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
Laboratwa Prensipal,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,
Planin Familyal,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,
Radyografi,,,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,
Sal Aprè Akouchman,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE
Sal Aprè Operasyon,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE
Sal Aprè Operasyon | Sante Fanm,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE
Sal Avan Akouchman,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
Sal Avan Operasyon | PACU,,,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,,,,
Sal Fanm,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Sal Fanm A,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE
Sal Fanm B,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE
Sal Gason,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Sal Gason A,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE
Sal Gason B,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE
Sal Izolman,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,
Sal Operasyon,,TRUE,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,TRUE
Sal Reyabilitasyon,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Sal Timoun,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,,TRUE
Sal Timoun A,,TRUE,,,,,,TRUE,,,,,,,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE
Sal Timoun B,,TRUE,,,,,,TRUE,,,,,,,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE
Sante Fanm,,,TRUE,,TRUE,TRUE,,TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,,TRUE
Famasi Famn ak Ti moun,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Sante Kominotè,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE
Suites de Couches,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
Swen Entansif,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Swen Entansif Neonatal,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
S-NICU,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
Travay e Akouchman,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
